row,col,lat,lon,elev
23,16,13.034,80.188,15.4
23,17,13.034,80.196,14.8
23,18,13.034,80.204,14.2
23,19,13.034,80.212,13.6
23,20,13.034,80.22,13.0
23,21,13.034,80.228,12.4
23,22,13.034,80.236,11.8
23,23,13.034,80.244,11.2
23,24,13.034,80.252,10.6
23,25,13.034,80.26,10.0
23,26,13.034,80.268,9.4
23,27,13.034,80.276,8.8
23,28,13.034,80.284,8.2
23,29,13.034,80.292,7.6
23,30,13.034,80.3,7.0
23,31,13.034,80.308,6.4
23,32,13.034,80.316,5.8
24,0,13.042,80.06,25.0
24,1,13.042,80.068,24.4
24,2,13.042,80.076,23.8
24,3,13.042,80.084,23.2
24,4,13.042,80.092,22.6
24,5,13.042,80.1,22.0
24,6,13.042,80.108,21.4
24,7,13.042,80.116,20.8
24,8,13.042,80.124,20.2
24,9,13.042,80.132,19.6
24,10,13.042,80.14,19.0
24,11,13.042,80.148,18.4
24,12,13.042,80.156,17.8
24,13,13.042,80.164,17.2
24,14,13.042,80.172,16.6
24,15,13.042,80.18,16.0
24,16,13.042,80.188,15.4
24,17,13.042,80.196,14.8
24,18,13.042,80.204,14.2
24,19,13.042,80.212,13.6
24,20,13.042,80.22,13.0
24,21,13.042,80.228,12.4
24,22,13.042,80.236,11.8
24,23,13.042,80.244,11.2
24,24,13.042,80.252,10.6
24,25,13.042,80.26,10.0
24,26,13.042,80.268,9.4
24,27,13.042,80.276,8.8
24,28,13.042,80.284,8.2
24,29,13.042,80.292,7.6
24,30,13.042,80.3,7.0
24,31,13.042,80.308,6.4
24,32,13.042,80.316,5.8
25,0,13.05,80.06,25.0
25,1,13.05,80.068,24.4
25,2,13.05,80.076,23.8
25,3,13.05,80.084,23.2
25,4,13.05,80.092,22.6
25,5,13.05,80.1,22.0
25,6,13.05,80.108,21.4
25,7,13.05,80.116,20.8
25,8,13.05,80.124,20.2
25,9,13.05,80.132,19.6
25,10,13.05,80.14,19.0
25,11,13.05,80.148,18.4
25,12,13.05,80.156,17.8
25,13,13.05,80.164,17.2
25,14,13.05,80.172,16.6
25,15,13.05,80.18,16.0
25,16,13.05,80.188,15.4
25,17,13.05,80.196,14.8
25,18,13.05,80.204,14.2
25,19,13.05,80.212,13.6
25,20,13.05,80.22,13.0
25,21,13.05,80.228,12.4
25,22,13.05,80.236,11.8
25,23,13.05,80.244,11.2
25,24,13.05,80.252,10.6
25,25,13.05,80.26,10.0
25,26,13.05,80.268,9.4
25,27,13.05,80.276,8.8
25,28,13.05,80.284,8.2
25,29,13.05,80.292,7.6
25,30,13.05,80.3,7.0
25,31,13.05,80.308,6.4
25,32,13.05,80.316,5.8
26,0,13.058,80.06,25.0
26,1,13.058,80.068,24.4
26,2,13.058,80.076,23.8
26,3,13.058,80.084,23.2
26,4,13.058,80.092,22.6
26,5,13.058,80.1,22.0
26,6,13.058,80.108,21.4
26,7,13.058,80.116,20.8
26,8,13.058,80.124,20.2
26,9,13.058,80.132,19.6
26,10,13.058,80.14,19.0
26,11,13.058,80.148,18.4
