water_body_id,osm_id,osm_type,name,category,water_type,latitude,longitude,city
wb-way-385376054,385376054,way,Unnamed Pond (wb-way-385376054),pond,pond,13.088118,80.105049,Chennai
wb-way-385380935,385380935,way,Unnamed Pond (wb-way-385380935),pond,pond,13.133812,80.152739,Chennai
wb-way-385387832,385387832,way,Unnamed Pond (wb-way-385387832),pond,pond,13.134713,80.135297,Chennai
wb-way-385417118,385417118,way,Unnamed Pond (wb-way-385417118),pond,water,12.971539,80.056653,Chennai
wb-way-385420125,385420125,way,Unnamed Pond (wb-way-385420125),pond,pond,13.153197,80.066372,Chennai
wb-way-385422795,385422795,way,Unnamed Reservoir (wb-way-385422795),reservoir,reservoir,13.148966,80.056985,Chennai
wb-way-385422797,385422797,way,Unnamed Pond (wb-way-385422797),pond,pond,13.151592,80.052512,Chennai
wb-way-385484716,385484716,way,Unnamed Pond (wb-way-385484716),pond,pond,13.151966,80.062477,Chennai
wb-way-385496639,385496639,way,Unnamed Pond (wb-way-385496639),pond,pond,13.152735,80.099335,Chennai
wb-way-385496672,385496672,way,Unnamed Pond (wb-way-385496672),pond,pond,13.144649,80.10781,Chennai
wb-way-385497552,385497552,way,Unnamed Pond (wb-way-385497552),pond,pond,13.140949,80.108086,Chennai
wb-way-385541519,385541519,way,Unnamed Pond (wb-way-385541519),pond,pond,13.134811,80.105775,Chennai
wb-way-385542594,385542594,way,Unnamed Pond (wb-way-385542594),pond,pond,13.138991,80.105726,Chennai
wb-way-385542602,385542602,way,Unnamed Pond (wb-way-385542602),pond,pond,13.140349,80.105682,Chennai
wb-way-385542605,385542605,way,Unnamed Pond (wb-way-385542605),pond,pond,13.140076,80.104705,Chennai
wb-way-385543440,385543440,way,Unnamed Pond (wb-way-385543440),pond,pond,13.14402,80.104353,Chennai
wb-way-385543447,385543447,way,Unnamed Pond (wb-way-385543447),pond,pond,13.135388,80.104917,Chennai
wb-way-385543453,385543453,way,Unnamed Pond (wb-way-385543453),pond,pond,13.137274,80.103864,Chennai
wb-way-385545773,385545773,way,Unnamed Pond (wb-way-385545773),pond,pond,13.138614,80.095158,Chennai
wb-way-385545775,385545775,way,Unnamed Pond (wb-way-385545775),pond,pond,13.142908,80.090441,Chennai
wb-way-385546795,385546795,way,Unnamed Reservoir (wb-way-385546795),reservoir,reservoir,13.148933,80.101474,Chennai
wb-way-385567141,385567141,way,Unnamed Wetland (wb-way-385567141),wetland,wetland,13.164439,80.103172,Chennai
wb-way-385608262,385608262,way,Unnamed Pond (wb-way-385608262),pond,pond,13.161184,80.112338,Chennai
wb-way-385625356,385625356,way,Unnamed Pond (wb-way-385625356),pond,pond,12.920926,80.156679,Chennai
wb-way-385625844,385625844,way,Unnamed Pond (wb-way-385625844),pond,pond,12.936748,80.143458,Chennai
wb-way-385698697,385698697,way,Unnamed Pond (wb-way-385698697),pond,pond,13.116719,80.187184,Chennai
wb-way-385698711,385698711,way,Unnamed Pond (wb-way-385698711),pond,pond,13.114936,80.188198,Chennai
wb-way-385706159,385706159,way,Unnamed Pond (wb-way-385706159),pond,pond,13.132311,80.197815,Chennai
wb-way-385706160,385706160,way,Unnamed Pond (wb-way-385706160),pond,pond,13.132971,80.197483,Chennai
wb-way-385707490,385707490,way,Udayar Palayam Nagar Pond - II,pond,pond,13.092155,80.148679,Chennai
wb-way-385708533,385708533,way,Unnamed Pond (wb-way-385708533),pond,pond,13.10833,80.128225,Chennai
wb-way-385708837,385708837,way,Zone Office Pond,pond,pond,13.106703,80.154151,Chennai
wb-way-385711964,385711964,way,Unnamed Pond (wb-way-385711964),pond,pond,13.105235,80.155544,Chennai
wb-way-385785249,385785249,way,Unnamed Pond (wb-way-385785249),pond,pond,12.899578,80.109401,Chennai
wb-way-385786074,385786074,way,Unnamed Pond (wb-way-385786074),pond,pond,12.900061,80.158285,Chennai
wb-way-385786366,385786366,way,Vengaivasal Lake,lake,lake,12.917766,80.163698,Chennai
wb-way-385787493,385787493,way,Uthu Kulam,pond,pond,12.918179,80.202859,Chennai
